Date,Source,District,Region,Confirmed Cases
4/3/2020,SitRep1,Dakar Ouest,Dakar,1
4/3/2020,SitRep1,Guediawaye,Dakar,1
3/9/2020,SitRep2,Dakar Nord,Dakar,1
3/9/2020,SitRep2,Dakar Ouest,Dakar,1
3/12/2020,SitRep3,Dakar Nord,Dakar,1
3/12/2020,SitRep3,Dakar Ouest,Dakar,1
3/12/2020,SitRep3,Touba,Diourbel,1
3/16/2020,SitRep4,Dakar Nord,Dakar,2
3/16/2020,SitRep4,Dakar Ouest,Dakar,3
3/16/2020,SitRep4,Popenguine,Thies,1
3/16/2020,SitRep4,Mbour,Thies,1
3/16/2020,SitRep4,Touba,Diourbel,19
3/20/2020,SitRep5,Dakar Centre,Dakar,1
3/20/2020,SitRep5,Dakar Ouest,Dakar,10
3/20/2020,SitRep5,Dakar Nord,Dakar,3
3/20/2020,SitRep5,Dakar Sud,Dakar,2
3/20/2020,SitRep5,Mbao,Dakar,1
3/20/2020,SitRep5,Popenguine,Thies,1
3/20/2020,SitRep5,Mbour,Thies,4
3/20/2020,SitRep5,Touba,Diourbel,25
3/23/2020,SitRep6,Ziguinchor,Ziguinchor,1
3/23/2020,SitRep6,Saint-Louis,Saint-Louis,1
3/23/2020,SitRep6,Guediawaye,Dakar,1
3/23/2020,SitRep6,Dakar Nord,Dakar,3
3/23/2020,SitRep6,Yeumbeul,Dakar,1
3/23/2020,SitRep6,Rufisque,Dakar,1
3/23/2020,SitRep6,Mbao,Dakar,2
3/23/2020,SitRep6,Dakar Centre,Dakar,4
3/23/2020,SitRep6,Dakar Sud,Dakar,6
3/23/2020,SitRep6,Dakar Ouest,Dakar,16
3/23/2020,SitRep6,Popenguine,Thies,2
3/23/2020,SitRep6,Thies,Thies,6
3/23/2020,SitRep6,Mbour,Thies,9
3/23/2020,SitRep6,Fatick,Fatick,1
3/23/2020,SitRep6,Touba,Diourbel,25
3/26/2020,SitRep7,Ziguinchor,Ziguinchor,2
3/26/2020,SitRep7,Oussouye,Ziguinchor,1
3/26/2020,SitRep7,Saint-Louis,Saint-Louis,1
3/26/2020,SitRep7,Guediawaye,Dakar,3
3/26/2020,SitRep7,Dakar Nord,Dakar,5
3/26/2020,SitRep7,Yeumbeul,Dakar,1
3/26/2020,SitRep7,Rufisque,Dakar,2
3/26/2020,SitRep7,Mbao,Dakar,2
3/26/2020,SitRep7,Dakar Centre,Dakar,4
3/26/2020,SitRep7,Dakar Sud,Dakar,12
3/26/2020,SitRep7,Dakar Ouest,Dakar,24
3/26/2020,SitRep7,Popenguine,Thies,2
3/26/2020,SitRep7,Thies,Thies,7
3/26/2020,SitRep7,Mbour,Thies,10
3/26/2020,SitRep7,Fatick,Fatick,1
3/26/2020,SitRep7,Touba,Diourbel,26
